,timestamp,roll,pitch,yaw
0,1456704054358492,0.0065078905599420655,0.006824406321623722,0.004524410613405074
1,1456704054374493,0.015088036681838406,0.012684263882958262,0.019819182246606004
2,1456704054397494,0.02428536600406118,0.017409856918166593,0.03263483776959126
3,1456704054420024,0.03445227536192344,0.02014951353212393,0.041159810920562236
4,1456704054434513,0.045405576556002296,0.02059025717413847,0.0446596569079381
5,1456704054457509,0.05623230765653776,0.019016524352777314,0.043727487073219766
6,1456704054479510,0.06533777368581042,0.01617030766171413,0.04009722961760358
7,1456704054519058,0.07084153649998139,0.012972532140276613,0.036010693463011
8,1456704054521056,0.07123424218444514,0.01023263646470117,0.033391236411271806
9,1456704054532524,0.06601948604505178,0.008460979915007515,0.033180806018277276
10,1456704054554526,0.0560328307122472,0.007823584883431437,0.03509023159425862
11,1456704054578526,0.04327458429298238,0.008206883043802933,0.03782526689347872
12,1456704054592527,0.030312886943034578,0.009329037729550252,0.03969679701995311
13,1456704054636540,0.019497955035427426,0.010839725066022664,0.039406666170286125
14,1456704054644541,0.012301790603896268,0.012380687945702228,0.036703870097428044
15,1456704054656542,0.00902614569820036,0.013620174775206717,0.03258906951449538
16,1456704054674738,0.00894066562832652,0.014295689439418518,0.028902894168575218
17,1456704054697666,0.010725122106917544,0.014279400359235792,0.02744751247751897
18,1456704054712546,0.012996349800714761,0.013636350905643885,0.029074201144780296
19,1456704054735431,0.01473018683237351,0.012623392562509191,0.03321347809713402
20,1456704054758477,0.015482229880168464,0.011605123623419712,0.03808815733720415
21,1456704054772107,0.01538827902145322,0.010920197353358392,0.04148308515450683
22,1456704054795365,0.01496863167441521,0.010765720546903217,0.04166907068298032
23,1456704054818410,0.01480890063688901,0.011152289535844937,0.038045835459677504
24,1456704054831619,0.015248724641025257,0.011936964631851244,0.031269122231240794
25,1456704054854621,0.016220190701107848,0.012901931371433297,0.022902164782316225
26,1456704054877623,0.01730206364850015,0.013832434430844925,0.014814798678351726
27,1456704054891623,0.017940633899914828,0.014559600026593891,0.008588693316923404
28,1456704054915128,0.017713355639337396,0.014962439393261974,0.005118205386966624
29,1456704054937635,0.01650858844004239,0.014951917641286536,0.004489344088845392
30,1456704054953637,0.01454361127429413,0.014470171489302587,0.006117724575898002
31,1456704054974638,0.012221569370239257,0.013522792428052353,0.009050833972879646
32,1456704054997639,0.009914520040870829,0.012232415454511597,0.012304446421493706
33,1456704055013912,0.007807957838393161,0.010877111308672072,0.01511927066625956
34,1456704055034651,0.005911583732346036,0.009872187168893726,0.01708463402930091
35,1456704055064653,0.004246233236535131,0.009674060062468586,0.01814517735597534
36,1456704055073653,0.0031132356242306917,0.010624358809450994,0.01854331298832606
37,1456704055094654,0.003287134759635966,0.012794625759958838,0.01874268771080423
38,1456704055118378,0.005968872142914464,0.015912244167509155,0.019347189130411654
39,1456704055134384,0.012408814794985555,0.019425912600639774,0.021005337336924626
40,1456704055155383,0.023261989639108333,0.022705303881291414,0.024283873530847426
41,1456704055178446,0.037930764566114335,0.025294353004390584,0.02950235874450773
42,1456704055194367,0.05427626990188829,0.027093207541400637,0.03654303536289983
43,1456704055215171,0.0690144587958356,0.028359833710891447,0.044702750106643825
44,1456704055238183,0.07880710027605255,0.029503634856152094,0.05272705197326257
45,1456704055254385,0.08162392209706623,0.0307651606055681,0.05917333811700083
46,1456704055274186,0.07767358927027193,0.03197346560932736,0.06308100107985999
47,1456704055298187,0.06935537952944365,0.03256249770897416,0.06462678522479076
48,1456704055314187,0.06023079009941344,0.03188165724415389,0.06527198604257106
49,1456704055334200,0.053560821509110734,0.029636530920564244,0.0671128361657345
50,1456704055358201,0.051134341345801616,0.02619057559333317,0.07166811619259389
51,1456704055374203,0.05289178530870028,0.02253443657348753,0.078793330490867
52,1456704055394203,0.0574131910249898,0.01993406868695389,0.08641076226169286
53,1456704055418224,0.06290460268916352,0.019452529259949836,0.09127315424755358
