,timestamp,x,y,z,w
0,1456704146116973,0.057314356597270084,0.008812020176849967,0.0722749709299583,0.10789070686601968
1,1456704146138479,0.08359755494163248,0.008356413784452421,0.06244996785924082,0.11905781907179547
2,1456704146162481,0.10718667179945685,0.008554154320057654,0.05264383104703287,0.1260923819730306
3,1456704146177482,0.12549321543002387,0.009907462122581789,0.043154709185077814,0.12579238994367298
4,1456704146198488,0.136326229612498,0.012611688055148179,0.03464176631317921,0.11659543908132766
5,1456704146222999,0.13838814880082637,0.016458435151077287,0.02802064850940053,0.09920518737909959
6,1456704146268507,0.13181889034940564,0.020830468024087428,0.02423489386552963,0.07679589938130776
7,1456704146277508,0.11849185189479594,0.02482611775943179,0.024044265842293525,0.05456577032902712
8,1456704146285508,0.10177023522513753,0.027512922525695163,0.027910779325824808,0.03855273569012107
9,1456704146300511,0.08564889694724659,0.02824343064005317,0.0359557064835778,0.033902935210249195
10,1456704146321224,0.07353401561452444,0.026909639411675037,0.04790712160611756,0.04308180624181945
11,1456704146342727,0.06713261675291418,0.024014641123627247,0.06299955233117008,0.06468166129753035
12,1456704146387010,0.06590358216998714,0.02051622330903852,0.07988108808363012,0.09340250434824844
13,1456704146387724,0.06731578590942036,0.01750967233356125,0.09665030640362275,0.12144346919632201
14,1456704146402044,0.0678759763716129,0.01589336812175052,0.1111268519403789,0.14099612611775594
15,1456704146418016,0.0645891053396811,0.01614736719052033,0.12133904500425786,0.14697313126734082
16,1456704146440527,0.05630241797319614,0.018267470308280454,0.1260397208683782,0.13885819700512744
17,1456704146461534,0.04441225059625264,0.02181058228843143,0.12497200939191128,0.12084740508648008
18,1456704146477544,0.032683035902401014,0.025990087806899844,0.11874000737466103,0.10017576014585268
19,1456704146508538,0.026266287915400182,0.02981061108289604,0.10845527473846402,0.08432573433033817
20,1456704146522353,0.030245391042321823,0.032275668359529774,0.09554184559871746,0.07827983889478925
21,1456704146537556,0.048110973288810636,0.0326710305163381,0.08192101308432728,0.08287565297169834
22,1456704146560559,0.08052254630222444,0.03084200774217567,0.07035859240983715,0.09477096742129347
23,1456704146582559,0.12462938822568453,0.027331663125135994,0.06444991723673864,0.10789608767330966
24,1456704146605561,0.1741720571465657,0.02328349704855009,0.06784665932158553,0.11582400698847549
25,1456704146621598,0.2205025643110996,0.020114015029350403,0.0828337444282599,0.11424120400623917
26,1456704146641864,0.25444904900868726,0.019067969223329623,0.10890973745722674,0.10263761979116581
27,1456704146664867,0.26865493690434356,0.020829683100835515,0.14222801270211918,0.08456296834962296
28,1456704146680865,0.25980344555985024,0.02534442574529582,0.1764172535894992,0.06635997763953806
29,1456704146701875,0.23008738459211,0.0319012699795896,0.2045785718754571,0.05495913463499022
30,1456704146725402,0.1873790410649954,0.03939795990224717,0.22160584623652,0.05572862609155301
31,1456704146741165,0.14379745247833176,0.046642312460128094,0.225798339594745,0.07126682208155695
32,1456704146770094,0.11282635749871152,0.05258456305582745,0.2191012926795257,0.10144108528772663
33,1456704146787124,0.1057332223842033,0.056459630668903395,0.20597263693937617,0.14425224106914167
34,1456704146800893,0.1284343582782619,0.05785998589980065,0.19146663418305024,0.1967195146336924
35,1456704146822357,0.1798097656936007,0.0567483275300575,0.17937479224616895,0.25519935521903797
36,1456704146845318,0.2518773114537063,0.05341269962961419,0.1711079954537424,0.3151410975093214
37,1456704146860318,0.33161339860405087,0.048393013387053714,0.16559541305943262,0.3707519379943329
38,1456704146882454,0.4038548245164601,0.042426194417901485,0.16007804947646362,0.41513624653409614
39,1456704146905454,0.4546111689845609,0.036429142011369674,0.15146017533557687,0.4412568287002174
40,1456704146921272,0.4741282726860827,0.03148870789562592,0.13781168329012625,0.44367432021362907
41,1456704146942526,0.45911848847753267,0.028804048556884974,0.11956393074648648,0.4205781993231975
42,1456704146973311,0.41371423668147894,0.029546776144573926,0.09992524708810244,0.3753227534613212
43,1456704146981311,0.3489128742357654,0.03465889519427405,0.0842250607465045,0.31672841872080004
44,1456704147004448,0.28055295801269003,0.04466178386460947,0.07834586695920337,0.25782868264855013
45,1456704147025263,0.2261297373746012,0.059536504263746653,0.0868935012558962,0.21330399847639211
46,1456704147041427,0.20094719790917673,0.07864388427549128,0.11190561137487005,0.1962482649715928
47,1456704147063163,0.21427281661196773,0.10059850051053376,0.15253628636727595,0.2150594851400622
48,1456704147086506,0.26641169957242883,0.1231188855229144,0.20553968418273086,0.2711966460721758
49,1456704147101164,0.3477848360811834,0.14307239077057063,0.26599411936463774,0.3583299185142831
50,1456704147123179,0.44080171245962335,0.15698125821394096,0.3278212905709145,0.4630820833526232
51,1456704147145191,0.5244491032045185,0.1620445209207931,0.38408349499541133,0.5672631143514693
52,1456704147161189,0.5804182054715162,0.15739563744228421,0.42740739725809185,0.6512923986262241
53,1456704147190214,0.598739886652261,0.14506054318090889,0.45093546935165374,0.698275270230081
54,1456704147205192,0.580677410074196,0.13002249750662065,0.4499082031325565,0.6979010683915596
55,1456704147221197,0.5373444177389554,0.11902214184179273,0.42347083023184173,0.6490971496503593
