,timestamp,x,y,z
0,1456704054358492,0.002473580089947789,0.00455024835046768,0.00929973157775345
1,1456704054374493,0.0362766988483954,0.0666140991565078,0.032705860022178804
2,1456704054397494,0.0666776092566818,0.12195945255379188,0.05812939854534169
3,1456704054420024,0.09063461507872839,0.165132086690818,0.08642829622815731
4,1456704054434513,0.10595033420221045,0.19295035062876334,0.11690441736570678
5,1456704054457509,0.11170654095440641,0.20469542336616475,0.1470723736003225
6,1456704054479510,0.10868832182909242,0.20173404084813695,0.17289297427326564
7,1456704054519058,0.09947984542337181,0.18694047121093305,0.18959046090669215
8,1456704054521056,0.08789269809832251,0.16418970889072695,0.1931238734071257
9,1456704054532524,0.07777023072123601,0.13790768160956024,0.1819611102797769
10,1456704054554526,0.07167269423222336,0.11247692061674239,0.15826785132418034
11,1456704054578526,0.07012140107047028,0.09139308740903326,0.12764219759592624
12,1456704054592527,0.07183850671268686,0.0763995986292479,0.09731318518137963
13,1456704054636540,0.07484575764529901,0.06710306918747645,0.07365624309472214
14,1456704054644541,0.07771187820013316,0.0614403679093807,0.060197404962783405
15,1456704054656542,0.08013394747694995,0.05683688167824047,0.056875760840547095
16,1456704054674738,0.08255575701085173,0.05143128830215798,0.060679467918746136
17,1456704054697666,0.08524882571369642,0.044759714355094966,0.06725808392853463
18,1456704054712546,0.08762022777358086,0.03769991412369211,0.072798880624623
19,1456704054735431,0.08826314577600215,0.03187143288140812,0.0753632197063433
20,1456704054758477,0.08568516441710304,0.028846515215952627,0.07516805795968906
21,1456704054772107,0.07917469688988038,0.029508107359940496,0.07390031838156975
22,1456704054795365,0.06924549800661153,0.03378465871411315,0.07361043728508034
23,1456704054818410,0.05749447822070534,0.04080255242305901,0.07571680909423968
24,1456704054831619,0.04608684558762157,0.04927761380416593,0.0803787038290536
25,1456704054854621,0.03714233738825617,0.05787169730106563,0.08634169303740369
26,1456704054877623,0.03218731986599704,0.06536333299913209,0.09134626214109819
27,1456704054891623,0.0317898715918499,0.07069991234149256,0.09305942113755125
28,1456704054915128,0.03547758730278733,0.07308485266852213,0.09017258078099077
29,1456704054937635,0.04195405475030715,0.07214146001748359,0.08309589469734723
30,1456704054953637,0.049523338761402934,0.06804378568527102,0.07385716126966745
31,1456704054974638,0.05657391588041961,0.06148356192500832,0.06528480087002692
32,1456704054997639,0.06196821185963345,0.05345614599749488,0.05994624493631539
33,1456704055013912,0.06522341132372989,0.04497980353331533,0.05936900926522395
34,1456704055034651,0.0664460394226048,0.03690594794651649,0.0638229800066016
35,1456704055064653,0.06607222489453456,0.029908002709624654,0.07258441052359843
36,1456704055073653,0.06455819737091917,0.024607742613192485,0.08435986744490272
37,1456704055094654,0.06223231084920949,0.02170743923551024,0.09760070251590858
38,1456704055118378,0.05945054301059613,0.02200573799843951,0.11074541383895126
39,1456704055134384,0.0569407910544668,0.026248595927318007,0.12264827070501931
40,1456704055155383,0.05597808503433851,0.03483228536778768,0.13325476236813358
41,1456704055178446,0.058087622270832064,0.04743813835275051,0.1440661317001002
42,1456704055194367,0.06431553923326973,0.06276996837830795,0.15766050509551208
43,1456704055215171,0.07444392554895907,0.0786149295757213,0.17602871118621286
44,1456704055238183,0.08663045627621524,0.09233879038513415,0.1985401382318385
45,1456704055254385,0.09778819267014698,0.10166346712876206,0.22102298269994733
46,1456704055274186,0.10464018963676454,0.10533729686938599,0.23692560549281688
47,1456704055298187,0.10496110449343621,0.10332158863050495,0.24010044800551408
48,1456704055314187,0.09836298153011569,0.09643145707754289,0.22760473171660894
49,1456704055334200,0.08627313660335041,0.08575304077757322,0.2009844388539898
50,1456704055358201,0.0712756253597406,0.07229041105392592,0.16558502012280826
51,1456704055374203,0.05630331269552568,0.057075714121551074,0.12851451373228853
52,1456704055394203,0.04405870687228621,0.04161196581324772,0.09631934662943159
53,1456704055418224,0.036701275282910575,0.028300729351100097,0.07330075487559683
54,1456704055434232,0.03561647806589005,0.020539310751547656,0.060973444801849665
55,1456704055454234,0.04114536432262626,0.022324968514348342,0.058595976608362736
56,1456704055478234,0.05237148895658714,0.03733509558304087,0.06420813340957923
57,1456704055500236,0.06717678279217537,0.0675970070083248,0.07548871826245966
58,1456704055514236,0.08269535491565336,0.11211323684170472,0.0900467730699831
59,1456704055537253,0.09611378762164108,0.16605900067402146,0.1052228911032146
60,1456704055559255,0.10556932242353474,0.22113361107465815,0.1178249905346578
61,1456704055574371,0.11074055809869769,0.26723436287939356,0.12432313163197584
62,1456704055597257,0.11279050193705992,0.2950910980661759,0.12181375548899219
63,1456704055619769,0.11369736026831817,0.2991161625066937,0.10953941450684959
64,1456704055635284,0.1153835974859552,0.27949227857487685,0.09017218135132678
65,1456704055658290,0.11905110247353155,0.2425007424395057,0.06989244024044688
66,1456704055680287,0.1248539111420725,0.1985828716124264,0.05677589455431171
67,1456704055695288,0.13187301418955782,0.15868278063557847,0.057903969366662845
68,1456704055718808,0.13836114332306512,0.1304610130233319,0.07636793441292208
69,1456704055740370,0.1421952192085106,0.11616027251057984,0.10951064492941168
70,1456704055762316,0.14142254689471886,0.1129662947998926,0.14930949232775476
71,1456704055778371,0.13485251698548253,0.11531331584499914,0.18494963964255648
