,timestamp,x,y,z
0,1456704146116973,0.013984584569144889,0.006854446295170995,0.011299122196000114
1,1456704146138479,0.02266421021416128,0.014624002578125236,0.022205184000093987
2,1456704146162481,0.02994178838176226,0.021050328730531354,0.03214304457919609
3,1456704146177482,0.03513009711830816,0.025033015314811113,0.0403404504834586
4,1456704146198488,0.03827243334361226,0.02615806019693269,0.04641539255319214
5,1456704146222999,0.04002684617231388,0.02483169571113515,0.050303975298082095
6,1456704146268507,0.041343445623148026,0.022188276575452866,0.052130922653711984
7,1456704146277508,0.04315186173262006,0.01975619123785718,0.05213553336559341
8,1456704146285508,0.04615499487411876,0.018957185195252378,0.050678292182752556
9,1456704146300511,0.05065104796765535,0.020626391080562682,0.0482899357894095
10,1456704146321224,0.0563009438181032,0.024772570953783612,0.04569667941811574
11,1456704146342727,0.06195260122929379,0.030690821127633373,0.04375660236691173
12,1456704146387010,0.06578564059683989,0.03734010419252008,0.04328160094920638
13,1456704146387724,0.06590890595866739,0.04374184636178275,0.044778265107348454
14,1456704146402044,0.06120590930572228,0.04917696692306456,0.04819011933902148
15,1456704146418016,0.052001761193628544,0.0531482992299764,0.05276439945880179
16,1456704146440527,0.040201091421663,0.05526552753857394,0.05718002115707375
17,1456704146461534,0.028806340392404966,0.05524086857896147,0.05999010138564829
18,1456704146477544,0.0209890321699563,0.05304133698625543,0.060249038576864186
19,1456704146508538,0.019067697009034986,0.049055698374271615,0.05804499945586654
20,1456704146522353,0.023783785370245395,0.04408134981318195,0.05467633803128905
21,1456704146537556,0.0341286705429861,0.03907809265723204,0.05236776164440301
22,1456704146560559,0.04773976804184129,0.034830605409519176,0.053581818586897756
23,1456704146582559,0.061683097743066385,0.03174470789786209,0.0600881723235795
24,1456704146605561,0.07334458204385258,0.029943649718005564,0.07208216093209972
25,1456704146621598,0.08115064637595253,0.02965552876901318,0.08778379913431233
26,1456704146641864,0.08488443433044268,0.03163631462724773,0.10387639100348894
