,timestamp,roll,pitch,yaw
0,1456704146116973,0.052419891449507205,0.026141952393167283,0.08353293233015252
1,1456704146138479,0.07286682004452177,0.03243909469609291,0.06532193523398958
2,1456704146162481,0.09034287636847166,0.0380861705961339,0.04908976978847875
3,1456704146177482,0.10212379553245274,0.04250291381984318,0.036705293412602376
4,1456704146198488,0.10617552285832642,0.04520191440102784,0.029664829434847124
5,1456704146222999,0.1017059619882076,0.045875486262219024,0.028731819922443044
6,1456704146268507,0.08966167422454327,0.044501100492544896,0.03367250307253266
7,1456704146277508,0.07284673282276945,0.0414309807666029,0.0433174937529096
8,1456704146285508,0.05539194075133381,0.03740841837834793,0.05598655543617832
9,1456704146300511,0.041589705204900865,0.03345613786637706,0.07005695228131176
10,1456704146321224,0.034484598130355426,0.03062530760206739,0.08434383511638176
11,1456704146342727,0.03480981060628744,0.02966436743593951,0.09808528931653945
12,1456704146387010,0.0407409588799228,0.03073298786305729,0.11059574640424061
13,1456704146387724,0.04858751921681078,0.03331285511034951,0.12088607362782222
14,1456704146402044,0.054150299790146225,0.03641561556382784,0.127584814516656
15,1456704146418016,0.05420606986950535,0.03904532123558679,0.12928744323208402
16,1456704146440527,0.047570574763802435,0.04070091364519376,0.12514180052989823
17,1456704146461534,0.03546157268593636,0.04163063388033114,0.11529444683197217
18,1456704146477544,0.021229121608296552,0.042661990363130724,0.10093607213011456
19,1456704146508538,0.00966907525634522,0.04468003723815322,0.08400912696859764
20,1456704146522353,0.006057689465037713,0.048043068651171784,0.06688747900634776
21,1456704146537556,0.01495139121802743,0.05225242280510171,0.05226375996158115
22,1456704146560559,0.03885936560660297,0.05603440909992324,0.04314749477413751
23,1456704146582559,0.07708471229753261,0.05778945272454917,0.042617993303054415
24,1456704146605561,0.12516758815056594,0.056234458361945336,0.053063640452497285
25,1456704146621598,0.17529905742958804,0.0510134506561849,0.0750398895600264
26,1456704146641864,0.2178020079980832,0.043044689397228275,0.1063050812320124
27,1456704146664867,0.24342778127820824,0.03442683226069682,0.1417168615454871
28,1456704146680865,0.24593771768027664,0.02787894216716865,0.17433984636604113
29,1456704146701875,0.22427775824968113,0.025904464840810913,0.1974920922101834
30,1456704146725402,0.18361129606194865,0.030027428428260058,0.20692669796870497
