,roll,pitch,yaw
0,0.04096517643398365,0.030061909177802312,0.09732855404809217
1,0.031751763737828065,0.027640565431831292,0.07579667658777307
2,0.028380327814055237,0.025821998844742542,0.06485779098798146
3,0.031868722533186344,0.025267004715628604,0.06212559503380725
4,0.04235875223867453,0.02657023480035764,0.0642082323223194
5,0.05880487623228469,0.02989371319044797,0.06822594040299698
6,0.07881467428538957,0.034674294373808194,0.07270705470570313
7,0.09887453066943347,0.03965616595334655,0.07775477520338367
8,0.11501969783180525,0.04332441172541352,0.08470831881932041
9,0.12381623184799855,0.044576790043981816,0.09560562931979323
10,0.12337990048123487,0.04331702112771919,0.11254848886043788
11,0.11407695548286187,0.040670090447888295,0.13689707769748205
12,0.09856241757910572,0.038697632895684314,0.1683749034157852
13,0.08097781976907799,0.03972450723767066,0.20444981450576516
14,0.06548935985780653,0.045535528994255406,0.24037503190252935
15,0.05476296570438738,0.05670460732766103,0.2700184677562397
16,0.04911867721041495,0.0722437814301032,0.2873344827508764
17,0.04677919961249485,0.08968813297022231,0.2880840954965074
18,0.045032074777693915,0.10566027523190227,0.27117720967645675
19,0.041679048677151234,0.11684482276751378,0.2390534739424893
20,0.03608323686888715,0.1211500675696818,0.1970134804436506
21,0.029406128533514524,0.1186878518987897,0.15200462488802075
22,0.02406081049115847,0.11213657516817388,0.11148946061249404
23,0.022746226133922496,0.1061437875111184,0.08258184456875893
24,0.027506126010976243,0.10571684311860696,0.07113284926146303
25,0.03911797615965473,0.11401329164634648,0.08045355782327128
26,0.056922024570068126,0.13042916372714886,0.1099269726980736
27,0.07903826832624741,0.1500841848871006,0.15434862394902008
28,0.10278281062847824,0.16536415168073712,0.2048003275928218
29,0.1250494234872541,0.16909059511494934,0.2510738568378754
30,0.14261213218795596,0.1577794296560799,0.28468390518161235
31,0.1526177844280155,0.1332216217185722,0.30111305900689755
32,0.15350426721001406,0.10156408626820043,0.30040182101443536
33,0.1460103718024398,0.0705292337893203,0.2861357636122517
34,0.13344032960504446,0.04636518016078756,0.2636407049980304
35,0.12064120206525905,0.032014662229069256,0.23837944335433295
36,0.11206511476953407,0.027062673476721536,0.21512789413624814
37,0.1099338385432616,0.028985762914739945,0.19778000030041
38,0.11342717495600935,0.03471547624550614,0.18912158522222103
39,0.1192438875174061,0.0417097632328144,0.19010223143500768
40,0.12322569782168714,0.04829416422266717,0.1989248264145539
41,0.1222246157242089,0.05352132918356242,0.21089044466481813
42,0.11529397313191818,0.0569273966245465,0.219658838879424
43,0.1037404755164582,0.05839668563371625,0.21958520812159152
44,0.09027224017701488,0.05812509079217991,0.20797374073344127
45,0.07785414660572522,0.056571230717451626,0.18608445484268774
46,0.06875900984325288,0.05431350670211026,0.15841332982464834
47,0.06400818670142691,0.051821655395315865,0.13063174876212605
48,0.06323255976974751,0.0492401537289982,0.10719595354581092
49,0.0649236833005347,0.046317291012904084,0.08976396561999123
