,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,0.16211072346399302,0.3193415274869675,0.13393139059671635,0.0437136039963315,0.10335362299535182,0.27003141176356105,0.3380947136372072,0.30905960894436263
1,0.1655502876565702,0.3192485983842817,0.13136524007993147,0.043471214008490015,0.10302278383969007,0.2759499735491822,0.3406874880037598,0.3102379576185144
2,0.16954514462100326,0.3197548634519567,0.12903563510168514,0.043201399993972635,0.10249455208485833,0.28150575438011893,0.3425165919181521,0.31136254035383143
3,0.17399853473235505,0.32082267377068113,0.1269751296955786,0.0429025715120154,0.10178728215627003,0.2866344045263878,0.34358701619632603,0.31240466675955164
4,0.17880615507124248,0.3223959854108616,0.1252156138344254,0.04257434942042023,0.10092713207176499,0.29127927141929033,0.3439139395108061,0.31334046303787777
5,0.18385810456963536,0.3244018674969284,0.12378826381313088,0.04221770738078024,0.09994752128556256,0.2953923291809279,0.34352121689409576,0.3141519065868045
6,0.1890410049057313,0.3267526119632444,0.1227233491971616,0.041835041771315314,0.09888821240936814,0.2989349818328985,0.34243975719331665,0.31482752609061343
7,0.19424028836135607,0.3293484222253076,0.12204981341333496,0.04143016877273592,0.09779404105686924,0.30187867954486897,0.34070599012617164,0.3153627684458377
8,0.1993426123799114,0.3320806047413089,0.1217945786335819,0.04100825038307563,0.09671334483893627,0.3042052821504656,0.3383605791332515,0.31576006321699873
9,0.20423833118425208,0.33483513994846514,0.12198157787914138,0.040575652566670534,0.09569616422113393,0.3059071274596909,0.335447462033064,0.3160286446306348
10,0.20882393306030814,0.33749648437618285,0.12263056782410407,0.04013974056624265,0.0947923037824214,0.3069868033682627,0.3320132301275519,0.31618419554088506
11,0.21300433559580628,0.33995145703662816,0.12375580874642428,0.0397086197078321,0.09404935168647338,0.3074566693000446,0.32810680601066844,0.3162483565809462
12,0.21669491919437345,0.3420930730689109,0.12536471229859342,0.03929083413433404,0.09351075526309104,0.3073382072419893,0.32377935270773284,0.3162481139758693
13,0.21982317857771336,0.3438241852491918,0.12745656007967826,0.038895039283902665,0.09321403997458418,0.30666128568166684,0.3190843336517177,0.3162150535965775
14,0.2223298955432215,0.3450607796994148,0.1300213904830948,0.03852966548220172,0.093189241016193,0.305463389355016,0.3140776364273357,0.31618445250657434
15,0.22416978976691526,0.3457347695426001,0.13303913881738874,0.03820258978660123,0.09345759854496233,0.3037888270334746,0.30881766944903155,0.3161941757170319
