,x,y,z,w
0,0.1608679929288364,0.1099771173151,0.11923170123477922,0.1145743614263031
1,0.22186518993827892,0.12138137511251094,0.09468539093660852,0.09383645932808783
2,0.2939408882114163,0.12515064798390332,0.08621448811223481,0.1138123174372126
3,0.3633551826924416,0.11995334004646588,0.0977011583364978,0.1721839533186556
4,0.4159131626710385,0.10645338179721216,0.12726842430825802,0.2557469067613745
5,0.441083287455902,0.08763850771699548,0.16712856452240687,0.3439025156598998
6,0.4359707455040604,0.06843774883789186,0.20556325646824408,0.41482999849590735
7,0.4075392344870463,0.05465460335186432,0.23059908370207904,0.4522640037221201
8,0.3715666629575439,0.05146478794851673,0.23427018336274666,0.4505635384486906
9,0.34783624187717893,0.06184147196385649,0.21589517851515405,0.4163155657056488
10,0.3527481405249133,0.08534280275023823,0.1828525916965365,0.3658219423911216
11,0.3921911465519214,0.11773347302345055,0.1481568739973945,0.3191803011335581
12,0.458139154416266,0.1517788635599326,0.12553028804358468,0.2929831481457141
13,0.5311682263038499,0.17916477653444274,0.12395470328625414,0.29443251665521997
14,0.5881570546805186,0.19300994063739102,0.14408717084218695,0.3192997293438521
15,0.6115796567046816,0.19011890372138612,0.1781272530812586,0.3545180007075437
16,0.595970284829396,0.17212934180945186,0.2131440915811038,0.3840425831110905
17,0.5487367227659825,0.14503975803827707,0.2363275018594825,0.3951689476281997
18,0.4853627540646828,0.11716554709098155,0.23984717646973736,0.3825290238085095
19,0.4217072231667527,0.09620828623576548,0.2233110483336171,0.3483788580950999
20,0.3674398846564456,0.08658321961099139,0.193031586632068,0.29979590648339044
21,0.3238820998662927,0.088118754191937,0.15881434079091666,0.2449456100582253
22,0.2867580977229613,0.09661488088480652,0.12998521234297722,0.1906346144512448
23,0.2512527087667348,0.10586441249423237,0.11237924675765466,0.14185098431499998
24,0.2156559369438104,0.1101430929129118,0.10717743079720822,0.10227447597581804
25,0.18159048285802554,0.1061359013528491,0.1114755744334852,0.07441524734956216
26,0.15170458579800006,0.09368039037684124,0.11991851433118356,0.05907400882330384
27,0.1272872337708123,0.07529403825923743,0.12670244477961445,0.05479966246667378
28,0.1075985804411079,0.05492434917337994,0.1273952873165678,0.058049794409352734
29,0.09092293037905357,0.03652587171249905,0.12011865175417827,0.06417996091470007
30,0.07613113940513196,0.022939218019726124,0.1057713417247508,0.06888434505677576
31,0.06356089365460564,0.015307298121142012,0.08729561301537442,0.06950990136616446
32,0.05476713323111223,0.013071598224667302,0.06837984895458186,0.06568562850724992
33,0.051404407118011385,0.014461762082377332,0.05218472877066453,0.0589534994230158
34,0.05389972818024851,0.017281622406741724,0.04056156189237576,0.05158263495905397
35,0.06066884774505176,0.019711467994946268,0.033926406419756014,0.04523982109267937
36,0.06837730704018752,0.02084109978788515,0.031648094718775346,0.040273208639351535
37,0.07318504478728484,0.02075700911816253,0.03262830649634848,0.035943023803926215
38,0.07234397116091408,0.02020552752469788,0.03576250378836538,0.03132550462947117
39,0.0653242819829216,0.020045704119321637,0.04014681145129405,0.02624476415670386
40,0.05394875267050591,0.02077931268710433,0.045097933160960266,0.021653469706889916
41,0.04157483029019037,0.02236433074209888,0.05012836598403367,0.01928198920869181
42,0.0317962907062005,0.024343864687065047,0.05494644077927181,0.020807818851305667
43,0.027225956619010925,0.026159076359130097,0.05944456611754227,0.02700435166685887
44,0.028745593476440682,0.027446239756027502,0.06361412360088467,0.037259984302955684
45,0.035367853260427136,0.028167459221712213,0.06738925509173341,0.049632166384891215
46,0.0446620559326731,0.028541354049313083,0.07049591191692271,0.06136630796429994
47,0.05356612958648144,0.028841117963471174,0.07239754276734844,0.06966808149921642
48,0.0593338572765125,0.02916991803559839,0.07238518959544282,0.07248802127554495
49,0.060334717497897025,0.029324676048057864,0.06980334295311656,0.06910506959377545
