,x,y,z
0,0.09116534909917147,0.11749845494720003,0.12075787510083127
1,0.0945394707396978,0.10985620915327132,0.10206153503596817
2,0.09393477259216954,0.09832129772312266,0.08987763619289424
3,0.09163766380512553,0.08663564841035147,0.08961090631935606
4,0.09145686694095073,0.08053017282705181,0.1034435608982446
5,0.0977441193193132,0.08621233003838404,0.13019958018779956
6,0.11394961867387735,0.10817099029872722,0.16639759603929102
7,0.14126405046159538,0.147125037337501,0.20751960101452635
8,0.17783656933621492,0.19898708803010365,0.2485764389847876
9,0.2186950397668291,0.25528445264744376,0.28390309110950723
10,0.2563203526853186,0.3049303354777961,0.30706366356628195
11,0.28205823979192235,0.3369457107271245,0.31188332646993594
12,0.28867911974182753,0.3436434575204525,0.2947282606506681
13,0.2737482400214818,0.3235510157002198,0.25699773288098915
14,0.24232119092806584,0.282966327953154,0.20634135829390898
15,0.2070553914013281,0.2351026974666746,0.15560805504574265
16,0.18485437121938644,0.19675740637512584,0.11957292523252686
17,0.1909662335849288,0.18379750874966894,0.11056798771643356
18,0.2328208388191341,0.2072537662804465,0.13475982460168026
19,0.3062472752748534,0.2710373438156939,0.19057520553973814
20,0.3961342083587429,0.3712278040992872,0.2697470896969351
21,0.4820597505243088,0.4965615542819775,0.36020415298853337
22,0.5469134913605843,0.6300890651441781,0.44921930676891103
23,0.5841427294966539,0.7521595751575993,0.5253529637254579
24,0.5992279500506075,0.8444481896369076,0.5788899868814489
25,0.6043887033005607,0.8940531480147222,0.6019628741996241
26,0.6100424690553239,0.8964696066299616,0.589903157705137
27,0.6184272120791053,0.8565392338696741,0.5438334381846627
28,0.6228423781433241,0.7869216095130258,0.4724851114469994
29,0.6121873966236782,0.7042503857670408,0.3909927311835327
30,0.5775819941746858,0.6240407252605026,0.3164496929256156
31,0.5173168721737698,0.5562431931775885,0.2623719400948579
32,0.4380094172168833,0.5033493623057926,0.23486069945544566
33,0.35211466989099577,0.4617259354111951,0.2320230941407856
34,0.27345829137000593,0.4250774665056381,0.2463418041072275
35,0.21295552646664803,0.3879866151356417,0.2683944273127505
36,0.17630150743616355,0.3479836529248819,0.29012699660572977
37,0.16409240062139765,0.30589298252453284,0.3065747515997769
38,0.1732107258198269,0.2650681950893093,0.3159173764300118
39,0.19787424369385406,0.23001002282031685,0.31854422208008193
40,0.2299550632633109,0.20451735137624824,0.31601409899260585
41,0.2595561821298656,0.18981015177414498,0.31031946556593265
42,0.2768358015686665,0.1835735838399585,0.3032242019700423
43,0.2748137133788414,0.18071170278781834,0.295412275560352
44,0.2517233676983739,0.1757107000076385,0.28579182604454617
45,0.2115038401132702,0.16547897193163533,0.27172125659952856
46,0.16216825747621538,0.15102618424315314,0.25048950595904185
47,0.11296069225301072,0.13691702905477685,0.22131918351853708
48,0.07159672647860184,0.12888857129758854,0.1864436551464404
49,0.042571514020980215,0.13116042574192374,0.15032405272271215
